#,model,provider,region,intelligence,reasoning,api_model_id,api_id_type,release_date,date_precision,api_verified,date_source,n_analysis,dat_score,between_unit_posaware,identity_flag,derived_fields
43,MiniMax-M2.7,minimax,Eastern,reasoning,Yes,minimax-m2.7,alias,2026-03-18,exact,no,minimax.io/news/minimax-m27-en + platform release notes (2026-03-18),500,77.8586,77.5480,,
44,Claude-Opus-4.7,anthropic,Western,hybrid,Yes,claude-opus-4-7,alias,2026-04-14,exact,yes,anthropic /v1/models created_at,520,85.8920,80.3503,,
45,Grok-4.3,xai,Western,hybrid,Yes,grok-4.3,alias,2026-04-17,exact,yes,xai /v1/models created,520,76.5504,76.6506,,
46,Kimi-K2.6,moonshot,Eastern,reasoning,Yes,kimi-k2.6,alias,2026-04-21,exact,no,forum.moonshot.ai/t/meet-kimi-k2-6 (2026-04-21),502,78.5548,78.2691,,
47,GPT-5.5,openai,Western,hybrid,Yes,gpt-5.5-2026-04-23,pinned,2026-04-22,exact,yes,openai /v1/models created,500,78.1195,76.4060,,
48,DeepSeek-V4-Flash,deepseek,Eastern,efficient,No,deepseek-v4-flash,alias,2026-04-24,exact,no,api-docs.deepseek.com/updates (2026-04-24),500,73.9544,75.5901,,
49,DeepSeek-V4-Flash-TH,deepseek,Eastern,efficient,No,deepseek-v4-flash,alias,2026-04-24,exact,no,api-docs.deepseek.com/updates (2026-04-24; thinking mode of v4-flash),500,73.5894,75.3789,,
50,DeepSeek-V4-Pro,deepseek,Eastern,reasoning,Yes,deepseek-v4-pro,alias,2026-04-24,exact,no,api-docs.deepseek.com/updates (2026-04-24),536,77.3413,77.2236,,
51,Qwen3.7-Max,qwen,Eastern,hybrid,Yes,qwen3.7-max,alias,2026-05-17,exact,no,earliest pinned DashScope snapshot qwen3.7-max-2026-05-17,520,77.5067,78.0669,,
52,MiniMax-M3,minimax,Eastern,reasoning,Yes,minimax-m3,alias,2026-06-01,exact,no,platform.minimax.io/docs/release-notes/models (Jun 1 2026),500,78.4807,77.5726,,
53,Claude-Fable-5,anthropic,Western,hybrid,Yes,claude-fable-5,alias,2026-06-07,exact,yes,anthropic /v1/models created_at,537,83.4856,79.4902,,
54,GPT-5.6-Sol,openai,Western,hybrid,Yes,gpt-5.6-sol,alias,2026-06-23,exact,yes,openai /v1/models created,514,80.4182,78.0446,,
55,Claude-Sonnet-5,anthropic,Western,hybrid,No,claude-sonnet-5,alias,2026-06-29,exact,yes,anthropic /v1/models created_at,533,81.1623,79.7569,,
56,Grok-4.5,xai,Western,hybrid,Yes,grok-4.5,alias,2026-06-29,exact,yes,xai /v1/models created,540,75.9292,75.5363,,
57,Hunyuan-Hy3,tencent,Eastern,hybrid,No,hy3,alias,2026-07-06,exact,no,tencent.com Hy3 GA announcement (2026-07-06); preview was 2026-04-23,542,77.5208,74.9273,,
58,Kimi-K3,moonshot,Eastern,reasoning,Yes,kimi-k3,alias,2026-07-16,exact,no,published announcement / dataset,508,77.5552,77.1037,,
59,Claude-Opus-5,anthropic,Western,hybrid,Yes,claude-opus-5,alias,2026-07-24,exact,yes,anthropic /v1/models created_at,508,84.3003,81.4384,,
