record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,MiniMax-M2.5,minimax-m2.5,minimax-m2.5,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,Yes,2025,1.0,1.0,0-2,,2026-07-15T08:29:07.101Z,2026-07-15T08:29:31.483Z,24382,,7c639ea4-010f-4d12-b861-7653c587cd7a,,stop,179,1823,2002,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"elephant, lamp, rain, justice, memory, bread, silence, time, journey, shadow",ok,10,elephant,lamp,rain,justice,memory,bread,silence,time,journey,shadow,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:31.244Z,2026-07-15T08:29:33.053Z,1808,,0f83cad2-2a59-444b-82fa-fb8e2dc460ec,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dog, book, ocean, laughter, spoon, shadow",ok,10,apple,mountain,freedom,clock,dog,book,ocean,laughter,spoon,shadow,,git:72d6a60
,DeepSeek-V4-Flash-TH,deepseek-v4-flash,deepseek-v4-flash,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:29.483Z,2026-07-15T08:29:33.379Z,3895,,78204a0a-3959-4ff4-ad30-ad0938aad799,,stop,144,227,371,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"stone, joy, river, law, bird, fear, book, fire, dream, ocean",ok,10,stone,joy,river,law,bird,fear,book,fire,dream,ocean,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:33.053Z,2026-07-15T08:29:34.948Z,1894,,25717d18-92fb-43c3-8a38-0cd0afc66a0c,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, spoon, freedom, cat, mountain, idea, book, thunder, chair, happiness",ok,10,cloud,spoon,freedom,cat,mountain,idea,book,thunder,chair,happiness,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:34.948Z,2026-07-15T08:29:36.762Z,1814,,10cd6508-2fa7-4655-a400-fcaea85e75d0,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, book, clock, ocean, chair, happiness, star, shadow",ok,10,apple,mountain,freedom,book,clock,ocean,chair,happiness,star,shadow,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:36.762Z,2026-07-15T08:29:38.663Z,1900,,a2d850e3-3e33-43c0-9f05-2a3affd52a1d,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, spoon, dream, clock, elephant, book, shadow, ocean",ok,10,apple,mountain,freedom,spoon,dream,clock,elephant,book,shadow,ocean,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:38.663Z,2026-07-15T08:29:40.456Z,1792,,d1d0c70b-cad4-4628-9272-6dc23c6d149b,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, idea, spoon, cloud, freedom, dog, book, river, sadness",ok,10,apple,mountain,idea,spoon,cloud,freedom,dog,book,river,sadness,,git:72d6a60
,MiniMax-M2.5,minimax-m2.5,minimax-m2.5,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,Yes,2025,1.0,1.0,0-2,,2026-07-15T08:29:31.745Z,2026-07-15T08:29:40.698Z,8953,,0c1c61d2-3fcb-4c0f-9890-77a26aba75a2,,stop,179,550,729,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, happiness, rain, chair, dream, song, clock, shadow, book",ok,10,apple,mountain,happiness,rain,chair,dream,song,clock,shadow,book,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:40.456Z,2026-07-15T08:29:42.287Z,1831,,2cb9e20c-6f61-4761-9c14-48760ee5d087,,stop,153,21,174,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, whisper, chair, ocean, idea, shoe, silence",ok,10,apple,mountain,freedom,clock,whisper,chair,ocean,idea,shoe,silence,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:42.288Z,2026-07-15T08:29:44.095Z,1807,,ea345feb-be3a-4e57-aa4f-3db761430dd5,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, spoon, freedom, cat, mountain, book, sadness, bicycle, apple, time",ok,10,cloud,spoon,freedom,cat,mountain,book,sadness,bicycle,apple,time,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:44.095Z,2026-07-15T08:29:46.100Z,2004,,be68001c-2b3d-4e5c-bbe5-94f8d448e241,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, idea, spoon, cloud, cat, book, freedom, shoe, river",ok,10,apple,mountain,idea,spoon,cloud,cat,book,freedom,shoe,river,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:46.100Z,2026-07-15T08:29:47.984Z,1884,,33460207-db81-4909-b942-1c5e29193304,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, spoon, dream, book, cloud, cat, justice, shoe",ok,10,apple,mountain,freedom,spoon,dream,book,cloud,cat,justice,shoe,,git:72d6a60
,DeepSeek-V4-Flash-TH,deepseek-v4-flash,deepseek-v4-flash,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:33.554Z,2026-07-15T08:29:48.715Z,15161,,58df6baa-a5af-43e0-858b-0d6b81536a15,,stop,144,1490,1634,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"air, anger, book, cloud, hammer, ocean, tree, silence, truth, stone",ok,10,air,anger,book,cloud,hammer,ocean,tree,silence,truth,stone,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:47.985Z,2026-07-15T08:29:49.732Z,1747,,1525fb87-1bf8-4d47-a41b-805b78f4a49e,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dog, book, ocean, sadness, spoon, idea",ok,10,apple,mountain,freedom,clock,dog,book,ocean,sadness,spoon,idea,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:49.732Z,2026-07-15T08:29:51.388Z,1655,,096699d9-1af2-4b04-8e66-e6be2c3ee9ed,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, idea, spoon, cloud, freedom, cat, book, sadness, wheel",ok,10,apple,mountain,idea,spoon,cloud,freedom,cat,book,sadness,wheel,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:51.388Z,2026-07-15T08:29:53.097Z,1708,,85a27de0-2705-4e14-86d3-a91e23a6f0f8,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dog, book, ocean, sadness, spoon, star",ok,10,apple,mountain,freedom,clock,dog,book,ocean,sadness,spoon,star,,git:72d6a60
,MiniMax-M2.5,minimax-m2.5,minimax-m2.5,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,Yes,2025,1.0,1.0,0-2,,2026-07-15T08:29:40.956Z,2026-07-15T08:29:54.423Z,13467,,bdb90b99-5068-4ec4-b372-6f6a46707f32,,stop,179,813,992,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, book, computer, rain, justice, language, music, shoe, light",ok,10,apple,mountain,book,computer,rain,justice,language,music,shoe,light,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:53.097Z,2026-07-15T08:29:55.519Z,2421,,68a5ad34-872c-4552-890c-00ca313e4b2c,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, spoon, dream, robot, river, book, anger, cloud",ok,10,apple,mountain,freedom,spoon,dream,robot,river,book,anger,cloud,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:55.519Z,2026-07-15T08:29:57.203Z,1683,,d81e5e44-112c-451d-af45-9efabb68a152,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, clock, freedom, dog, book, ocean, chair, idea, storm",ok,10,apple,mountain,clock,freedom,dog,book,ocean,chair,idea,storm,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:57.203Z,2026-07-15T08:29:59.396Z,2193,,10cb70de-4b99-4304-b6e3-3bdf764f7c80,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, clock, idea, dog, book, cloud, spoon, freedom, shoe",ok,10,apple,mountain,clock,idea,dog,book,cloud,spoon,freedom,shoe,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:59.397Z,2026-07-15T08:30:01.098Z,1701,,146f145d-c687-47ca-b851-093ec2959d78,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cat, mountain, spoon, idea, rain, book, chair, freedom, apple, clock",ok,10,cat,mountain,spoon,idea,rain,book,chair,freedom,apple,clock,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:30:01.099Z,2026-07-15T08:30:03.628Z,2529,,5195e130-6164-4455-8a66-2da60cfda446,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, idea, spoon, clock, rain, book, cat, freedom, shoe",ok,10,apple,mountain,idea,spoon,clock,rain,book,cat,freedom,shoe,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:30:03.629Z,2026-07-15T08:30:05.607Z,1978,,ef6100b1-d4e2-48cc-b1da-d55206c9b5fc,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, spoon, dream, cat, book, cloud, justice, hammer",ok,10,apple,mountain,freedom,spoon,dream,cat,book,cloud,justice,hammer,,git:72d6a60
,MiniMax-M2.5,minimax-m2.5,minimax-m2.5,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,Yes,2025,1.0,1.0,0-2,,2026-07-15T08:29:54.424Z,2026-07-15T08:30:08.353Z,13929,,6ba8cc38-f94b-4c6a-b9a8-15077b7d67f7,,stop,179,899,1078,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"stone, dream, river, whisper, book, chair, shadow, music, hope, bird",ok,10,stone,dream,river,whisper,book,chair,shadow,music,hope,bird,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:30:08.995Z,2026-07-15T08:30:10.895Z,1899,,daa9dd96-5502-4dbd-82c4-c7b2137009ae,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, silence, chair, dream, river, book, anger, spoon, cloud",ok,10,apple,mountain,silence,chair,dream,river,book,anger,spoon,cloud,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:30:10.895Z,2026-07-15T08:30:12.738Z,1842,,40d793c2-30b2-44e4-b67b-99f6627b701d,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, spoon, dream, clock, ocean, book, anger, shoe",ok,10,apple,mountain,freedom,spoon,dream,clock,ocean,book,anger,shoe,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:30:16.122Z,2026-07-15T08:30:18.009Z,1887,,de560a3b-29f6-4dc7-bfb3-18d9778a2e12,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, chair, cloud, idea, book, river, sadness, spoon",ok,10,apple,mountain,freedom,chair,cloud,idea,book,river,sadness,spoon,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:30:18.009Z,2026-07-15T08:30:19.827Z,1818,,f8ebda5f-c612-4f37-b4e1-7129d25adf49,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dog, book, anger, spoon, cloud, music",ok,10,apple,mountain,freedom,clock,dog,book,anger,spoon,cloud,music,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:30:19.827Z,2026-07-15T08:30:21.706Z,1878,,bf46f5c5-0d5a-49e8-93d8-b3ef4f44cc26,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dream, river, book, anger, shoe, star",ok,10,apple,mountain,freedom,clock,dream,river,book,anger,shoe,star,,git:72d6a60
,MiniMax-M2.5,minimax-m2.5,minimax-m2.5,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,Yes,2025,1.0,1.0,0-2,,2026-07-15T08:30:08.354Z,2026-07-15T08:30:21.860Z,13505,,1f798878-de51-4679-b7ba-33361a54b28a,,stop,179,810,989,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, chair, river, happiness, book, sun, rain, shadow, door, song",ok,10,apple,chair,river,happiness,book,sun,rain,shadow,door,song,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:30:21.706Z,2026-07-15T08:30:23.483Z,1776,,e43bc94f-4004-489d-8891-afb6e1840dec,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, book, cloud, spoon, sadness, dog, window, idea",ok,10,apple,mountain,freedom,book,cloud,spoon,sadness,dog,window,idea,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:30:23.483Z,2026-07-15T08:30:25.438Z,1954,,f55a2e50-ea98-4f8f-b996-fd6496930650,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, spoon, dream, elephant, book, sadness, hammer, cloud",ok,10,apple,mountain,freedom,spoon,dream,elephant,book,sadness,hammer,cloud,,git:72d6a60
,DeepSeek-V4-Flash-TH,deepseek-v4-flash,deepseek-v4-flash,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:48.716Z,2026-07-15T08:30:30.143Z,41426,,37315a74-6457-4918-8258-44380d0ee245,,stop,144,2453,2597,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"water, rock, tree, key, bridge, hope, wind, seven, square, day",ok,10,water,rock,tree,key,bridge,hope,wind,seven,square,day,,git:72d6a60
